timestamp_epoch,source_throughput_records_per_sec,total_managed_memory_used_bytes,total_managed_memory_total_bytes,total_slots_used
1774041494,6185.166666666667,497025024.0,1331439878.0,6.0
1774041499,6185.166666666667,497025024.0,1331439878.0,6.0
1774041504,7036.55,497025024.0,1331439878.0,6.0
1774041509,7036.55,497025024.0,1331439878.0,6.0
1774041514,6647.383333333333,497025024.0,1331439878.0,6.0
1774041519,6647.383333333333,497025024.0,1331439878.0,6.0
1774041524,6957.4,497025024.0,1331439878.0,6.0
1774041529,6957.4,497025024.0,1331439878.0,6.0
1774041534,7650.916666666667,497025024.0,1331439878.0,6.0
1774041539,7650.916666666667,497025024.0,1331439878.0,6.0
1774041544,7857.816666666667,497025024.0,1331439878.0,6.0
1774041549,7857.816666666667,497025024.0,1331439878.0,6.0
1774041554,6562.433333333333,497025024.0,1331439878.0,6.0
1774041559,6562.433333333333,497025024.0,1331439878.0,6.0
1774041564,5564.8,497025024.0,1331439878.0,6.0
1774041569,5564.8,497025024.0,1331439878.0,6.0
1774041574,5564.8,497025024.0,1331439878.0,6.0
1774041579,5376.35,497025024.0,1331439878.0,6.0
1774041584,5376.35,497025024.0,1331439878.0,6.0
1774041589,4823.016666666666,497025024.0,1331439878.0,6.0
1774041594,4823.016666666666,497025024.0,1331439878.0,6.0
1774041599,4786.733333333334,497025024.0,1331439878.0,6.0
1774041604,4786.733333333334,497025024.0,1331439878.0,6.0
1774041609,4786.366666666667,497025024.0,1331439878.0,6.0
1774041614,4786.366666666667,497025024.0,1331439878.0,6.0
1774041619,6057.566666666667,497025024.0,1331439878.0,6.0
1774041624,6057.566666666667,497025024.0,1331439878.0,6.0
1774041629,6489.25,497025024.0,1331439878.0,6.0
1774041634,6489.25,497025024.0,1331439878.0,6.0
1774041639,6525.616666666667,497025024.0,1331439878.0,6.0
1774041644,6525.616666666667,497025024.0,1331439878.0,6.0
1774041649,7401.366666666667,497025024.0,1331439878.0,6.0
1774041654,7401.366666666667,497025024.0,1331439878.0,6.0
1774041659,7212.683333333333,497025024.0,1331439878.0,6.0
1774041664,7212.683333333333,497025024.0,1331439878.0,6.0
1774041669,7529.216666666666,497025024.0,1331439878.0,6.0
1774041674,7529.216666666666,497025024.0,1331439878.0,6.0
1774041679,7529.216666666666,497025024.0,1331439878.0,6.0
1774041684,7626.483333333334,497025024.0,1331439878.0,6.0
1774041689,7626.483333333334,497025024.0,1331439878.0,6.0
1774041694,7462.316666666667,497025024.0,1331439878.0,6.0
1774041699,7462.316666666667,497025024.0,1331439878.0,6.0
1774041704,5978.733333333334,497025024.0,1331439878.0,6.0
1774041709,5978.733333333334,497025024.0,1331439878.0,6.0
1774041714,6075.866666666667,497025024.0,1331439878.0,6.0
1774041719,6075.866666666667,497025024.0,1331439878.0,6.0
1774041724,7346.966666666666,497025024.0,1331439878.0,6.0
1774041729,7346.966666666666,497025024.0,1331439878.0,6.0
1774041734,7407.616666666667,497025024.0,1331439878.0,6.0
1774041739,7407.616666666667,497025024.0,1331439878.0,6.0
1774041744,7158.25,497025024.0,1331439878.0,6.0
1774041749,7158.25,497025024.0,1331439878.0,6.0
1774041754,6988.016666666666,497025024.0,1331439878.0,6.0
1774041759,6988.016666666666,497025024.0,1331439878.0,6.0
1774041764,7024.416666666667,497025024.0,1331439878.0,6.0
1774041769,7024.416666666667,497025024.0,1331439878.0,6.0
1774041774,5680.316666666667,497025024.0,1331439878.0,6.0
1774041779,5680.316666666667,497025024.0,1331439878.0,6.0
1774041784,4366.633333333333,497025024.0,1331439878.0,6.0
1774041789,4366.633333333333,497025024.0,1331439878.0,6.0
1774041794,4366.633333333333,497025024.0,1331439878.0,6.0
1774041799,4056.616666666667,497025024.0,1331439878.0,6.0
1774041804,4056.616666666667,497025024.0,1331439878.0,6.0
1774041809,4506.533333333334,497025024.0,1331439878.0,6.0
1774041814,4506.533333333334,497025024.0,1331439878.0,6.0
1774041819,5522.3,497025024.0,1331439878.0,6.0
1774041824,5522.3,497025024.0,1331439878.0,6.0
1774041829,7067.1,497025024.0,1331439878.0,6.0
1774041834,7067.1,497025024.0,1331439878.0,6.0
1774041839,7000.25,497025024.0,1331439878.0,6.0
1774041844,7000.25,497025024.0,1331439878.0,6.0
1774041849,7109.6,497025024.0,1331439878.0,6.0
1774041854,7109.6,497025024.0,1331439878.0,6.0
1774041859,7243.566666666667,497025024.0,1331439878.0,6.0
1774041864,7243.566666666667,497025024.0,1331439878.0,6.0
1774041869,7741.933333333333,497025024.0,1331439878.0,6.0
1774041874,7741.933333333333,497025024.0,1331439878.0,6.0
1774041879,6945.166666666667,497025024.0,1331439878.0,6.0
1774041884,6945.166666666667,497025024.0,1331439878.0,6.0
1774041889,6884.666666666667,497025024.0,1331439878.0,6.0
1774041894,6884.666666666667,497025024.0,1331439878.0,6.0
1774041899,7827.1,497025024.0,1331439878.0,6.0
1774041904,7827.1,497025024.0,1331439878.0,6.0
1774041909,7948.583333333333,497025024.0,1331439878.0,6.0
1774041914,7948.583333333333,497025024.0,1331439878.0,6.0
1774041919,7948.583333333333,497025024.0,1331439878.0,6.0
1774041924,7231.083333333333,497025024.0,1331439878.0,6.0
1774041929,7231.083333333333,497025024.0,1331439878.0,6.0
1774041934,6173.233333333334,497025024.0,1331439878.0,6.0
1774041939,6173.233333333334,497025024.0,1331439878.0,6.0
1774041944,4622.083333333333,497025024.0,1331439878.0,6.0
1774041949,4622.083333333333,497025024.0,1331439878.0,6.0
1774041954,4445.616666666667,497025024.0,1331439878.0,6.0
1774041959,4445.616666666667,497025024.0,1331439878.0,6.0
1774041964,4366.566666666667,497025024.0,1331439878.0,6.0
1774041969,4366.566666666667,497025024.0,1331439878.0,6.0
1774041974,5285.15,497025024.0,1331439878.0,6.0
1774041979,5285.15,497025024.0,1331439878.0,6.0
1774041984,5923.416666666667,497025024.0,1331439878.0,6.0
1774041989,5923.416666666667,497025024.0,1331439878.0,6.0
1774041994,6203.483333333334,497025024.0,1331439878.0,6.0
1774041999,6203.483333333334,497025024.0,1331439878.0,8.0
1774042004,0.0,331350016.0,1331439878.0,9.0
1774042009,0.0,828375040.0,1997159817.0,9.0
1774042014,660.7666666666667,828375040.0,1997159817.0,9.0
1774042019,660.7666666666667,994050048.0,1997159817.0,9.0
1774042024,3824.65,994050048.0,1997159817.0,9.0
1774042029,3824.65,994050048.0,1997159817.0,9.0
1774042034,6032.266666666666,994050048.0,1997159817.0,9.0
1774042039,6032.266666666666,994050048.0,1997159817.0,9.0
1774042044,7450.366666666667,994050048.0,1997159817.0,9.0
1774042049,7450.366666666667,994050048.0,1997159817.0,9.0
1774042054,9366.016666666666,994050048.0,1997159817.0,9.0
1774042059,9366.016666666666,994050048.0,1997159817.0,9.0
1774042064,9366.016666666666,994050048.0,1997159817.0,9.0
